,Review,
1,"Беру тут Наполеон для разных праздников! Всегда все очень вкусное свежее, Наполеон и круассаны просто топ",positive
2,"Очень уютное место 😍
 Сотрудники 100/10 официант Турар 👍
 Десерты 10/10
 Чай Немножко не мой вкус а так все прекрасно 👍",positive
3,"Как человек любящий наполеон пришел сюда по рекламе в инсте.
 Ожидание - реальность не совпали. Наполеон жирноват и не прям самый вкусный как это заявляли в рекламе.
 Самое ужасное это - громкая музыка! Это разве клуб?
 

 Самый вкусный наполеон для меня был в Sandyq, но у них испортилось качество (стал сухим), об этом оставил отзыв у них на странице в 2 гис.
 

 Ну, а самый топовый наполеон в городе для меня это - не большая кондитерская MS Bakery (если кто помнит наполеон в ТРЦ Silk way city, то именно этот вкус теперь в данной кондитерской).",negative
4,"Очень вкусно , краусан шоколадный очень свежий тает во рту , и кофе прям вкусный 😍а я тот еще знаток в кофейнях 😎
 Однозначно советую, главное не растеряйте свою особенность 🤗",positive
5,"Приходила 2 раза, и как же тут вкусно! Коз тимесин😄
 + я заказывала пасту с лососем и вялеными помидорами, это такое удачное сочетание! Очень интересный вкус помидорок, салат греческий тоже был сочным и вкусным, ну, и конечно же, их фирменный Наполеон. Он шикарен.
 

 +отзывчивый персонал и админ
 

 + красивый сервиз Тюдор прекрасно вписывается в стилистику
 ————
 – сервиз красивый, но именно чайные пары моют не качественно, а именно где ручка чашки. Из-за текстурного покрытия в щелях между рисунком остается чай, это конечно не совсем приятно. Нам подали 2 пары и в обеих были не промытые места. Учтите пожалуйста это.
 

 Я надеюсь, что Бал сохранит свое качество блюд и обслуживания! Пусть ваше дело процветает🫶🏻🩷",positive
6,"Всё супер прям 🤭 наполеон бомбезный, чай тоже и официанты тоже классно справляются с работой желаю удачи 🤍",positive
7,Вкусно и уютно,positive
8,"Приятная и уютная атмосфера в зале, отличное обслуживание, очень вкусный кофе и не менее вкусная кухня☺️💖
 Ещё увидела отзыв про наполеон, хочу дополнить, что это правда, что он там безумно вкусный, такого нежного и вкусного пока нигде не пробовала🥹",positive
9,"официанту Асылбек огромное спасибо за гостеприимство и работу,отличное заведение 👍🏻",positive
10,Уютно и вкусно!,positive
11,"Вообще вкусно и уютно.
 Утром в булочной очень медленно ею и невнимательное обслуживание, что очень жаль.",positive
12,Безумно вкусный наполеон 🤭🤤,positive
13,"Уютно, чисто. Неплохая кухня. Пришли из-за наполеона, но и покушали сразу.
 Говяжьи щечки вкусные, бургер не впечатлил к сожалению. Наполеон вкусный, кофе обычный. Салат с баклажанами вкусный, но не вау",positive
14,"Замечательное заведение с уютной атмосферой😍официант по имени Муханбет очень хорошо обслужил, спасибо ему🥰🥰🥰",positive
