,Review,
0,"Частые гости, в выходные часто посещаем!",positive
1,"Нереально вкусное мясо тут подают, теперь будем только к вам приходить",positive
2,Вкусно и обслуживание хорошее. Стейк. Вкусные и комплимент дают от заведения. Цивильное место.,positive
3,супер место,positive
4,Очень вкусно. Обслуживание отличное. Рекомендую.,positive
5,Вкусные обеды тут,positive
6,Очень вкусно,positive
7,Мясо то что надо🔥 сытно,positive
8,"Очень уютное , красивое заведение. Вчера ужинали, стейки хорошие, правильная прожарка , сочные👍🏻 Лимонад облепиховый супер. Обслуживание на высшем уровне.",positive
9,"Очень уютное место, встретились здесь с друзьями, на компанию из 7-8 человек, чек минимальный, блюда вкусные. В заведении чисто и тихо, были очень довольны сервисом)",positive
10,"Обслуживание на высоте, а мясо вообще🔥",positive
11,Заведение понравилось. Уютное. Комфортное. Пока приходим на завтраки. Очень нравятся. Теперь надо попробовать мясо 😄,positive
12,"Все было замечательно, вкусная кухня, отличное обслуживание, Дима - лучший! Спасибо за вечер!",positive
13,"Как положено встретила хостес, дружелюбно поприветствовал персонал, внутри хороший интерьер. Принесли блюда, красивая подача, но после наступило разочарование. Стейк был странной текстуры и легко разрезался вилкой (даже без ножа), а у медальонов неприятный запах и вкус. Подача красивая, но мясо не их конёк. На вкус и цвет 🤷🏻‍♀️",negative
14,"Пожалуй, лучшие стейки здесь!! 100% рекомендую!!!",positive
15,"Моя оценка: ⭐⭐⭐⭐⭐ (5/5)Отличное качество еды, приятная атмосфера и хороший сервис. 👍👍👍",positive
16,"Посетил этот ресторан, и у меня остались приятные впечатления. Уютная атмосфера, стильный интерьер и приятная музыка создают комфортное пространство для отдыха. Персонал вежливый и внимательный, официанты работают быстро и с улыбкой",positive
17,"Отличное место для любителей мяса! Стейки сочные, прожарка точная, обслуживание на высшем уровне. Атмосфера уютная, особенно понравилась живая музыка.",positive
18,"Очень классный ресторан👍 Мясо вкусное, особенно стейк. Официанты вежливые👍 обязательно ещё раз вернемся. Привет из Астаны🙌",positive
19,"Понравилось обслуживание, официанты очень внимательны, профессионалы своего дела. Кухня просто шикарная, пробовали стейки и бургеры, мясо нежное сочное! Бургер был сочным и наполненным. Спасибо этому заведению за хороший вечер!!!!",positive
20,"очень вкусная еда,подача, блюда очень вкусные 👍",positive
21,"Заказал стейк, мясо жесткое , не вкусное , в следующий раз точно не приду",negative
22,Очень хорошие блюда на гриле,positive
23,"Отстой . Цены космос , ожидание и реальность не стоит того.",negative
