,Review,
1,"очень приятные официанты, все улыбаются, желают хорошего дня. атмосфера уютная, все чисто, убрано всегда. вкусные напитки и большой выбор,чем остальные недовольны не понимаем",positive
2,"Отвратительный сервис на доставку
 Пересоленная еда, которую невозможно есть совсем, а потом звонить и доказывать , что вы пробуете каждый заказ перед подачей/отправкой, Ну-ну) тогда спешу вам сообщить, что у вас проблемы со вкусовыми рецепторами, раз вам по кайфу есть чистую соль.
 Постоянно заказываю и лично в кафе всегда беру данную позицию, такая проблема впервые и хотелось бы признания вашей ошибки, а не слышать оправдания и получать сброс звонка со стороны сотрудников.
 
 Очень бы хотелось дойти до вашей точки и заставить попробовать этот отврат, да только вот времени еще жалко тратить на этот ужасный сервис, 3к и так выброшены в мусорку",negative
3,"Обожаю Coffee Boom 😍😍😍 Люблю коллектив в ТРЦ Москва и ТРЦ Атакент 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻 Сервис на высшем уровне 👍👍👍👍 Каждый раз поддерживают классное настроение 🌸🌸🌸🌸🌸 Особая благодарность Мансуру, Амилю и девушке красотке за сегодняшнее вечернее общение 😁",positive
4,"Уютная атмосфера, вкусные завтраки, отличное обслуживание официанта Амиль😉 Что еще нужно для хорошего завтрака😁",positive
5,"Очень нравится CoffeBoom, рада что открылся на трц Москва, пришли поздно вечером, нас отлично и быстро обслужили, официант Амиль вежливый и внимательный! Все было супер!",positive
6,"Очень хорошая кофейня, вкусные блюда, обслуживание на уровне, спасибо Амилю",positive
7,"Амиль очень приятный , внимательный 👍
 Стейк был вкусный. Сервис наилучший 👌",positive
8,Почему поставил 5 звезд из за классного обслуживание,positive
9,"Была здесь несколько раз, проводила встречи, и с подругами сидела, всегда всё было хорошо. Но сегодня всё было невкусно! С мужем один раз глотнули лимонад, сразу сказали что невкусно, парень официант вежливый, за это ему спасибо. Но очень обидно и несправедливо платить 100% стоимость, даже если мы это не выпили… Думаю, можно было какой то процент просто убрать",neutral
10,Все было очень вкусно 🤤,positive
11,Обслуживание на высшем Алишер,positive
12,"Ринатқа рахмет, өте мәдинетті түрде қызмет көрсетті, тамақтары да ұнады 🫶🏻😁",positive
13,"Обслуживание на высшем уровне, очень вкусный кофе ❤️",positive
14,"Все вкусно, лимонад особенно хорош.
 
 Официант Алишер молодец, работает быстро и оперативно.
 
 Единственный минус — вешалки стоят бесхозно и непонятно где.
 
 В целом заведение на 5/5, всегда приятно сюда приходить",positive
15,"Спасибо офицанту Амилью, очень вежливый и приятный. Кухня отличное, место очень комфортное, приятная музыка.",positive
16,"Бар просто супер, девушка Дина и кассир оба молодцы, обслуживание на все 100%. Ждал не долго получил хороқий сервис молодцы",positive
17,"Coffee Boom — прекрасное место с уютной атмосферой и вкусным кофе. Интерьер располагает к приятному времяпрепровождению, а обслуживание на высоте. Особая благодарность официанту Ринату за внимание, профессионализм и искреннюю заботу о каждом госте. С таким сервисом хочется возвращаться снова.",positive
18,"Кофе вкусный, приготовили быстро",positive
19,"Отличное место , очень вкусные панкейки с семгой , кофе шикарный мягкий , были впервые придем еще , официант красавчик хорошо обслужил",positive
20,Доолго все и официанты и готовность блюд Это было 30.04 И теперь 10.01 так же. Час жду заказ еды Тауығын енді сойып бітетін уақыт болды уже,neutral
21,Очень вкусно,positive
22,Здравствуйте! Посетили сегодня вечером любимую кофейню и остались очень довольны ! Благодарим Вас за хорошее обслуживание!,positive
23,"Нургуль очень классная девушка, очень приятная, спасибо ❤️❤️❤️",positive
24,"Сегодня были в вашей кофейне Нам все понравилось уютная атмосфера, вкусные блюда, персонал вежливый особенно хочу поблагодарить официантку Нургуль очень приветливая , приятная девушка помогла нам с выбором десертов нам все очень понравилось 😍",positive
25,"Официантка Нургуль хорошо обслужила спасибо большое , придем еще!!",positive
26,"побывали у Вас и нас вновь обслуживала официант Нургуль прекрасная девушка,настоящий профессионал, знает все составляющие блюд и может посоветовать что лучшее из меню...очень отзывчивая,внимательная и позитивная! Редко встретишь таких профи в деле и это очень приятно! Все было очень вкусно.",positive
27,Нургуль богиня! Ей однозначно нужно премию!😍,positive
28,Спасибо официантке Нургуль за прекрасное обслуживание ! Еда очень вкусная,positive
29,Нургуль супер,positive
30,"Хотели позавтракать 1 января в этом кафе, но официантка отказалась нам открыть дверь со стороны торгового центра, пальцем указав на улицу. Причем сам ТРЦ был открыт. Это мы должны одеться, выйти из ТРЦ и снова зайти к вам со стороны Алтынсарина, так как она не пожелала открыть дверь и пустить гостей изнутри. Это нормально? Или у Вас такие новые правила не пускать клиентов через ТРЦ, с недовольным видом пальцем указывая на дверь?",negative
31,Нет овсяного молока и решения этому у официантов и администрации тоже нет. Плохо.,positive
32,Добрый день были у вас в заведении хотелось отметить официанта по имени Рефат очень приятный хорошее обслуживание все было на высшем уровне очень уютно праздничная атмосфера 👍,negative
33,"Очень вкусно, уютно и красиво. Сотруднику Нургуль отдельная благодарность!",positive
34,"Атмосфера в кофейне просто чудесная! Здесь царит уют и тепло, идеальное место для встречи с друзьями. Мы отлично провели вечер, наслаждаясь не только вкусной едой, но и приятной обстановкой. Обслуживание также на высшем уровне — все очень дружелюбно и внимательно. Это место точно оставило самые положительные впечатления!",positive
35,"Кофе в этой кофейне — просто отличный! Напиток приготовлен с большой заботой: аромат насыщенный, вкус — сбалансированный, с приятной ноткой. Видно, что используют качественные зерна и готовят с учетом всех тонкостей. Это идеальный выбор для любителей настоящего кофе. Обязательно вернусь за чашечкой снова!",positive
36,"Сколько раз был в Coffee Boom, однозначно здесь лучший кассир! Благодаря такому обслуживанию сюда хочется возвращаться снова и снова. Большое спасибо",positive
37,"Сотрудник Руфат очень приятный, помог мне выбрать блюдо, было вкусно, уютно Большое спасибо!",positive
38,"Очень грубый официант Руфат, когда попросили его потише стучать, он начал психовать и еще сильнее карточкой начал бить по монитору, потом резко развернулся и пошел, разговаривая в очень грубой форме.
 Еле выпросили фискальный чек за оплату наличными. Дали чек весь в каком-то соусе, лица недовольные. Настроение испорчено",negative
39,"Обслуживание хорошое. Еда вкусная , но как будто мало мест",positive
40,"Сегодня была у вас , очень хороший сервис, оффицант Дастан хорошо обслужил. 😁💞",positive
41,"Лучший филиал, самый добрый и вежливый персонал 🔥 Дине и Альбе особая благодарность 🙏🏻",positive
42,"Хорошее заведение, официант Нуржан обслуживание на высшем уровне все понравилось👍",positive
43,"Отличное место, очень вкусная еда! Очень вежливый персонал. Рекомендую апельсин -облепиха чай , он потрясающий 💕 Возвращаюсь с удовольствием ✨✨",positive
44,"Обслуживание на нуле ! Сначала ждали минут 20 чтоб подошел официант, пришлось крикнуть в итоге . Потом сырники ждали еще полчаса ! Пока сама не подошла не спросила , не собирались даже нести . Стоят втроем беседы беседуют !",negative
45,"Девушка бариста маленького роста,очень вкусно готовит кофе 😍 Взял с собой латте,очень вкусное,мягкое кофе как я хотел. Подарили настроение на целый день,спасибо!",positive
46,"Отличное место , были с подругами официант Руфат посоветовал новинки салат с индейкой топ , нам все понравилось успехов вам",positive
47,"Классное место , отличный интернет , пришли с друзьями на обед , все очень вкусно особо понравилось курица по тайски , салат уткой , отдельный Рахмет официанту Руфату",positive
48,"Супер вкусный кофе , нам очень понравился раф и десерт графские , стоить посетить еще раз , сервис отличный 👍",positive
49,"Отличное место , красивый интерьер, вкусные блюда , придём ещё не раз",positive
50,"Админ Адина очень классная. У нас был мини случай с чаем имбирь малина, но она помогла решить этот вопрос. Заменила нам чай и в виде комплимента дала десерт. Спасибо за такую прекрасное обращение с гостями) я со своей остались восторге. Хотели оставить чай админу, к сожалению не взяла(",positive
51,"Сервис на нуле: пришлось звать официантов самим и ждать по 20 минут, пока они подойдут. Второе — такое чувство, будто это проходной двор. Я прихожу, чтобы поужинать в спокойной атмосфере, а взамен получаю обратное. На протяжении всего моего пребывания 3-4 раза подходили мальчики, прося купить у них шоколадки или влажные салфетки. Затем зашла женщина с попугаем на руках. На мою просьбу отойти (так как птицы — потенциальные разносчики болезней), она грубо ответила, что главное, он не сидит на моей руке.",negative
