Comment,Sentiment
"Бардык, тамактары оте дамди. Кызмет корсету сапасы оте жогары. Аспазшыларда, даяшыларда оте жаксы. Кафенин иши де ерекше атмосфера. Балаларга да тамактарыныз унады. Енди жиы барып турамыз!",positive
"Баратын жер емес. Дым қызмет жоқ,1 сағат күтесің еще шатасып кетеді. Масқара,еще ақша төлетеді,ұят жоқ",negative
"Люблю окадзаки с тех пор как только появились, Но испортились жестко.. суши стали меньше, цены стали выше, а дубайский шоколад какой был отменный, прям паста и начинка, а сейчас видно паста какая-то дешевая..😭 верните прежний вкус🙏🏻🙏🏻🙏🏻 раннее был вкуснее шоколад, и суши были больше🥺 не теряйте клиентов🫶🏻",negative
"Очень вкусно, все понравилось. Спасибо официанту Нуржігіту за отличное обслуживание!!!",positive
"В принципе нормально, пойдет",positive
Очень вкусно 🙂‍↔️,positive
Жаксы тамактары унады,positive
"Сегодня были с семьей и детьми, очень уютный ресторан. Все чисто красиво, вкусно. Отдельно хочу отметить заботливость администратора Аиды👍🏻",positive
"Вечер добрый, сегодня были семьёй всё понравилось , хотелось бы по благодарить официантов на втором этаже двух парней, имя забыла 😛",positive
"Кухня вкусная все понравилось ,спасибо !👍👍👍",positive
"Қызмет көрсету жоғарғы деңгейде, рахмет Жеңіс!",positive
Суши башня из худших отвратительных 😂,negative
"Кухня вкусная, обслуживание 👍🏻",positive
Очень вкусно и приятная атмосфера🫶🏽,positive
"Нұржігіт красавчик 😻 Кушти обслужка жасап , бизди шыгарып салды",positive
"Филиал на Розыбакиева очень уютный и кухня отличная. Блюда свежие. Обслуживал официант Нуржигит, очень чуткий парень",positive
"Все было вкусно, отдельное спасибо Ердену☺️",positive
"Заказали суши с собой , потом сказали можем посидеть покушать они отказали нам посидеть у них в заведении ! Мы говорим давайте разницу оплатим они говорят надо другой чек открыть за столик🙄 непонятные правила ! У вас в заведении нет ЛЮДЕЙ ВООБЩЕ столики свободны ! Ну зачем вы портите клиентам настроение? Ужас просто",negative
"Вежливые официанты, вкусная еда. Есть намазхана)",positive
Намазханасы жақсы,positive
Обслужка👍🏻👍🏻 официант Ерден,positive
"Все понравилось, спасибо! Обслужка классная, все было уютно и красиво, официантом был Ерден👍🏼",positive
"12.02 были тут. Нас обслуживал официант Ерден, очень хорошо обслужил нам все понравилось, можно смело выдавать премию👍🏻",positive
"Вкусная еда,приятная атмосфера
Ходим постоянно с коллегами после работы
спасибо официанту Ерден😘☺️",positive
"Самое лучшее заведение из моих топ 10.Вкусно,чисто,персонал самый лучший и очень выгодные цены🤌🏻😚",positive
"Все очень вкусно,спасибо официанту Аяулым за обслуживание!Очень приятная девушка.",positive
"В суши была ворсинка, сами суши маленькие и неаппетитные",negative
Вкустно,positive
Были с женой на втором этаже холодно(( мы и другие жаловались на это но ничего так и не изменилось. У них окна на автоматике и они открываются( было вкусно взяли сет. Колла дорогая 1300 тенге. На вынос дешевле и колла ещё в подарок.,negative
Спасибо Ердену за обслуживание 🙌🏻,positive
"Пообедала в вашем заведении, все очень вкусно, красиво и чисто. Обслуживал официант Ерден , приветливый и шустрый. Спасибо , побольше бы таких заведений) довольна в общем🫶",positive
