#,Review,Rate
1,"Бургеры наггетсы вкусные, напитки как всегда на высшем уровне, вот чем отличались i'm для меня, кассирша Акерке обслужила профессионально, все на высшем уровне",positive
2,I'm сіздерді күтеді🤗🫶🏻,positive
3,"Здравствуйте!
Очень грустно но в последний раз я видела что вы убрали чикен делюкс и была очень сильно расстроена , всегда его ела 🤕 верните пожалуйста 🙏",positive
4,карлыгаш 👍🏻👍🏻,positive
5,"Карлыгаш топ топ
Падам падам заказы тез берет кушты 🥰🥰😘😘😚😍",positive
6,"Қарлығаш кассирша күшті люблю жақсы қыз, заказымызды тез берді🥹💔💔💔💔💔",positive
7,Куреры вопше кемендер,positive
8,Нам очень понравилось I’М в апорте вежливый персонал и очень быстро принесли заказ спасибо большое желаем вам процветание ❤️❤️❤️,positive
9,"УЖАСНЫЙ ФИЛИАЛ, ЗАКАЗАЛИ ОДНО , привезли совершенно другой заказ, где ваша совесть?, мы ждали свой заказ больше часа, чтобы получить не свой заказ?!!!!",negative
10,Қарлығаш сила,positive
11,Қарлығаш сила,positive
12,Қарлығаш өте жақсы қызмет береді,positive
13,Чикен бургер 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😋🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤😋😋🤤🤤,positive
14,Өте жақсы кафейня. Кофелері дәмді. Қарлығаш ханым өте жақсы қызметін атқарды.,positive
15,Карлыгашка рахмет кызмети керемет.,positive
16,Дәмді бәрі күшті кассирша Қарлығаш Өте дәмді Доставка бар Қарлығаш өте жақсы бізге ұналы Тағыда келеміз мүндетті түрде мен тұрақты клиентпын бәрі дәмді!!,positive
17,Қарлығаш керемет кассир 👍,positive
18,"Все вкусно, быстро😍Девушка Карлыгаш молодец!😍 обслуживала на отлично и приятная🫶 спасибо большое сотрудником 🎊🎊🎊",positive
19,Самый лучший ресторан. Қарлығаш жақсы қызмет көрсетті ❤,positive
20,Карлыгаш кассирша😻 спасибо ей,positive
21,Обслужили хорошо. Девушка на кассе Карлыгаш оказалось приятной. Обслудила очень хорошо. Тез дайын болды заказ. Рахмет сіздерге.,positive
22,"Обслужили хорошо. Девушка на кассе Карлыгаш оказалась приятной, общается на вы, обслужила очень хорошо. Приготовили быстро. Спасибо вам, мне все понравилось, еда вкусная.",positive
23,"Сервис супер, кофе керемет. Персонал тамаша",positive
24,"Карлыгаш, жарайсын!",positive
25,"Были ,сотрудник Карлыгаш приятная 🫶🏻 и хорошо обслуживает",positive
26,"Өте дәмді Қарлығаш деген қыз өте жақсы
💖",positive
27,Қызмет көрсетулері өте жақсы.,positive
28,Карлыгашка рахмет номери 630 тапсырысты тез және әп-әдемі жинап берді.,positive
29,Кашан келсенде заказ даиын емес омири заказдарды ауыстырадыда журеди берген заказдарынды карап алындар кателеспеи,negative
30,"Заказ беруге мүлде кеңес бермеймін,
Тук дәмі жоқ бағасына да сай емес
Фри шикі қатып қалған дәмсіз әппақ адамдар
Сонша ақшаға адам заказ бергесін свежий жақсы нәрсе күтеді ғой
АлмаЯққойыңдар вообще будан
Дәмсіз айтаалмайм
Ақшасына не жалко просто не ішіп не жегеніңді білмей босқа заказ беріп ужас екен
Не советую!!!
Одан салам бро жақсыма деп қалдымғой😏😏😏👎🏻👎🏻👎🏻",negative
31,"Можете упаковывать напитки нормально?! Поучитесь у своих конкурентов, они напитки ещё пакетом оборачивают, все разлилось по еде, кашу малашу привезли!",negative
32,Карлыгаш огромное спасибо 🥰 обслуживание топ!,positive
33,"КАРЛЫГАШ ЛУЧШАЯ, ОЧЕНЬ БЫСТРО И ОПЕРАТИВНО, лучшая работница, наградите её",positive
34,"Хочу поблагодарить Қарлығаш за отличный сервис! Всё было быстро, качественно и с улыбкой. Очень приятно, когда сотрудники так вежливы и внимательны. Спасибо!",positive
35,"Большое спасибо Қарлығаш за замечательное обслуживание в Макдональдсе! Все было быстро, вкусно и с улыбкой. Профессиональный и доброжелательный подход сделали мой визит приятным. Обязательно вернусь снова!",positive
36,"Очень отзывчивая девушка по имени Карлыгаш!
Благодарю за работу🙌🏻",positive
37,Карлыгаш деген кыз кушты екен👍🏻👍🏻,positive
38,Қарлығаш тәте ❤️❤️❤️❤️,positive
39,Қарлығаш тәте пряяям кушты қызметкер маған қарлығаш тәтенің ақ көнілділігі қатты ұнады қарлыгаш тате на сто го люблю ее❤️❤️💋💋,positive
40,Карлвгаш татее кушты екен,positive
41,"Қарлығаш әпке зооор қабылдайды!! Айдың ең жақсы қызметшісі болуына лайықтыы! Өте әдемі, адамды силайды екен! Ещё соскаа сындым 😍😍",positive
42,"Карлыгаш - ответственный и профессиональный работник, всегда выполняет задачи качественно и в срок. Рекомендую!",positive
43,"Карлыгаш деген кыз өте озн жаксы көрсеті
Маған өте кызметы унады
Тағыда келемін 👋",positive
44,"Қарлығаш Отличное обслуживание, внимательная и доброжелательная. Спасибо за замечательный сервис!",positive
45,"Маған Карлыгаш деген офицантка унады, ол өте қонақжайлы кутип алды, заказымызды дәл уактыныда акеп берип, бизге жаксы обслуживание корсетти, және осы Im ның ең адеми, ең күшті, ең мыкты офицантка болды, сол үшін карлыгашка коп рахмет",positive
46,"Меня сегодня обслуживовала девушка Карлыгаш,она очень вежливая и мне понравилось её оьслуживание!😁",positive
47,"Меня обслуживовала Карлыгаш она очень красивая и вежливая, обслуживание на вышем уровне.",positive
48,Обслуживала Карлыгаш.Обслуживание очень хорошое.Мне все очень понравилось.Обязательно приду ещё раз.,positive
49,Бугин Акбопе Деген кыздан кофе алдык. Оте дамди ракмет😍,positive
50,"Очень хорошое обслуживание, все сотрудники вежливые,еда всегда горячая и вкусная 👍👍👍👍",positive
51,Алина очень классная девушка🫶🏻Все понравилось,positive
52,Алина самая лучшая❤️,positive
53,"Девушка по имени Алина большая молодчина 😍Очень вежливая,приятная 👍🏻",positive
54,"Очень вкусно, приятный персонал, обслуживала Алина😊",positive
55,"Атмосфера классная и вкусная еда , спасибо Алине очень вежливая✅😘",positive
56,"Алинаа 👍🔥Очень вежливая ,очень вкусная еда))Спасибо Алине",positive
57,"Очень классное место,отдельно спасибо Алина😘",positive
58,"Очееень вкусно, Спасибо Алине за хорошее обслуживание, очень вежливая и милая😍😮‍💨",positive
59,"Часто бываем с подругой, очень вкусно и быстро. Спасибо Алине за хорошее обслуживание, очень приятная и хорошая девушка😻😻",positive
60,Все было очееень вкусно🤤 Алина хорошо обслужила🥰,positive
61,Очень классное обслуживание👍Алина очень добрая)),positive
62,"Алина очень вежливая,помогла во всем🤍",positive
63,Добрые консультанты,positive
64,Обожаю этот филиал,positive
65,"Хорошее обслуживание, вежливый персонал Жаркын волбщн лучшая",positive
66,Нам все понравилось✨❤️😻,positive
67,С доставки с пакета выполз большой таракан,negative
68,"Почините вы уже QR терминал где машины делают заказ, уже пол года через QR не платится, приходится отдавать телефон что бы отсканировали на компьютере",negative
69,Хороший сервис,positive
70,Все было очень очень вкусно 🙂‍↕️🙂‍↕️ Акжаркын хорошо обслужила😍🥰,positive
71,"Нам все понравилось, и еда и атмосфера, Акжаркын лайк🙂‍↔️",positive
72,"Очень приятное место и персонал, часто ходим сюда👍",positive
73,"Вежливый персонал, готовят быстро и вкусно🤩👍",positive
74,"Еда вкусная и тут очень уютно. Акжаркын очень милая, хорошо обслужила😊🙌🏻",positive
75,"Еда очень вкусная спасибо большое, Акжаркын милая девушка Рахмет ей за обслуживание😋😍",positive
76,Милая девушка Акжаркын помогла нам с выбором заказа рахмеееет 😍🙏,positive
77,"Атмосфера классная, еда вкусная, Акжаркын очень милая девушка спасибо ей 💖",positive
78,"Акжаркын очень милая девушка, классно обслужила нас 🫶🏻",positive
79,Өте дәмді! Тыныш және атмосферно,positive
80,"Все чисто, и еда пришла горячая. Атмосфера была не давящая, мы с подругами хорошо посидели👍",positive
81,Тамактары Оте кушти😍,positive
82,"Акжаркын очень милая девушка, помогла нам с заказом, хороший подход к детям😊",positive
83,"Мне все понравилось, еда здесь очень вкусная!! Персонал и обслуживание на высшем уровне! Алина отличный сотрудник",positive
84,"все быоо вкусно, спасибо команду I,m😍👍🏻🥰",positive
85,Не очень,negative
86,"Все понравилось, спасибо",positive
87,Спасибо большое за Акжаркын,positive
88,"Акжаркын такая добрая,спасибо ей❤️",positive
89,"Акжаркынға рахмеет
Барлығы өте дәмді, тез дайын болды😍",positive
90,Акжаркын отлично обслуживала 🤩,positive
91,"I’m ресторан ,часто келемыз оте дамды . Акжаркын сотрудницага рахмет ❤️",positive
92,"Акжаркын очень милая девушка, подсказала про новые акции💋",positive
93,Хорошое обслуживание Акжаркынга Рахмет 👍👍,positive
94,Спасибо за еду и спасибо отдельно за Акжаркын за хорошее обслуживание,positive
95,Хороший персонал 👍 все вкусно и полезно ❤️🙌,positive
96,"Хороший персонал, всё быстро и вкусно.",positive
97,"Очень приятный персонал , официантка Алина очень помогла в выборе заказа,все на высшем уровне",positive
98,"Очень хорошее обслуживание, Алине отдельное спасибо.",positive
99,"Хорошее заведение, вкусная еда , приятный коллектив очень хорошие люди",positive
100,"прекрасное место,очень вкусно кормят,очень добрый и вежливый персонал,всегда ходим именно в эту точку",positive
101,"Ужасная доставка , не доложили две позиции блюда все приехало в остывшом виде а также нету АБСОЛЮТНО НИКАКОЙ ОБРАТНОЙ СВЯЗИ.",negative
102,"По закону РК Казахстан обслуживание должно быть на языке обращения. Прихожу и часто было, что на русском меня не понимают. Честно говоря неприятно. Также ценник растет а вкусных позиций нету. В заведении чисто и обслуживание хорошее",negative
103,"Все очень понравилось, спасибо большое ❤️",positive
104,довольно вкусно и хорошее обслуживание,positive
105,"менеджер или кассирша сегодня во время 14:00 около как попала принимала заказ, и с негативом общалась, и от не хочу работала, я вежливо общался до конца, пока она не бросила на меня фри и сказала сам положи в пакет вроде бы зовут Асель или как то так немножко полная девушка ( я не осуждаю телосложение а даю показания на то что бы нашли эту девушку) прошу ее проверить на психику",negative
106,"Очень вкусно, чисто👍 так еще у меня классная фотка получилось.",positive
107,оч вкусна нямнямням,positive
108,Обслуживание на высоте,positive
109,Спасибо как всегда все вкусно и отдельное спасибо Аружан🥰🫶,positive
110,"Цены в меню рекламного стенда отличаются от реальных, картошка фри 800 тг стало, хотя написано 700, все подорожало, заказав еду и оплачивая итоговая сумма отличается существенно, а так в целом также все вкусно",neutral
111,"Трубочкаларыңызды ауыстырыңыздаршы. Коктейль ішу мүмкін емес, трубочкалартөте жұмсақ",negative
112,"вкусная еда и работники отличные!!комфортное место, советую.",positive
113,"Было очень вкусно,работники очень милые,добрые, спасибо!",positive
114,"Всегда чисто, вежливый персонал. Очень комфортная посадка. И конечно вкусная еда 👍
Спасибо за классную точку ❤️",positive
115,"добрые сотрудники, везде чисто, часто прихожу сюда с родными",positive
116,не выдали мороженое,negative
117,"На доставку всегда приходит разлитая колла, вся фри в коле, с пакета течет. Сотрудники плохо закрывают",negative
118,"Вкусно, быстро и качественно! Всегда классная атмосфера, вежливые сотрудники, особенно хотелось бы отметить Еркежан, отдельное спасибо)",positive
119,Лучший фаст фуд в своей категории,positive
