review,label
Есть детский мир и Магнум.,positive
"Место отличная. Особенно нравиться Магнум внутри находиться. Можно найти всё что искал. Мне понравилось отношение кассира Айнагуль. Очень добрая, отзывчивая. Консультирует хорошо. Подскажет, поможет.",positive
"Надо бы сделать косметический ремонт. Топовая локация, но ощущение что нет должного ухода за ТРЦ.",neutral
"Ужасное место , парковка маленькая и забытая",negative
Хороший тц но охраники прогоняют всех детей без родителей в -10 на улицу и щитают себя героями а взрослым не чего не говорят и прогоняют иза пары случаев где не убрали за собой еду и то не мы короче тц хуйNя охраники вы не героии вы отсталые недо вип казахи,negative
👍👍,positive
Қолжетімді бағалар,positive
Ужасная охрана и сам трц своей оценки не стоит охранники ходят по топам и когда проходят обезательно что-то говорят ужасное обслуживание,negative
Охранники как будто преследуют тебя,neutral
Наведите порядок с парковкай ставят где хотят,negative
Охраники очень злые как собака туалеты очень грязные и сырые магнуме ходит тараканы отвратительно Директор Ритц Палац это отзывы вам!,negative
Хороший Магнум и разнообразный уличный фуд-корт 👍🏽,positive
Что с ценами за парковку? 1200 тг за 2 часа 🫠,negative
"С 2012 года туда хожу! Футкорты прям прям👍Пусть ТРЦ и старый, все равно классный!",positive
Радует изобилие нужных магазинов 😅,positive
🫡 заказы много,positive
"Понравится магнум (широкий ассортимент) и футкорд на улице, очень много выбора. Да и расположение удобное 👍",positive
Тамақтары дәмді емес аз мөлшері,neutral
"Ооойй родной тц, и гуляю там, и кушаю и работаю",positive
"Близко, доступно и есть всё",positive
Хороший ТЦ,positive
"Проводили новогодний вечер, зал большой просторный, официанты втихаря наше спиртное тоже выпивали и прятали",negative
Админ не очень,negative
Жаксы бәрі👍🏿,positive
"Входная группа, парковка, эти птицы летом, антисанитария",neutral
"ТРЦ очень хороший есть много магазинов продуктов и одежды, есть аптеки им магазины для животных и техники есть большая и удобная парковка на улице есть тоже магазины. Советую ходить",positive
Самый хороший место,positive
"Удобно, парковка дорогая",positive
"Локация, только парадный вход подводит",positive
Твердая четыре!!!,neutral
"Была в 11 часов дня, половина бутиков ещё и не открылись и локация для проезда автобусом очень далеко .",negative
Хороший ТЦ,positive
"Есть все что нужно, для тех кто рядом живёт закупиться. Не для развлечения",neutral
"В ТРЦ почти ничего интересного, из плюсов это местоположение и магнум",negative
"15мин тока бесплатно,но на выходе пробки 🥲",negative
"В этом здании есть супермаркет ""Magnum"", на первом этаже, на втором - супермаркет электроники, на третьем этаже - супермаркет ""Детский мир""",neutral
На 3 этаже есть Корейская кухня.,positive
"Парковка «золотая» . у вас магазин не такого уровня как Достык,Мега, в Меге и то дешевле.",negative
Все настаяшие,positive
Столдары нашар,negative
Печально что парковка ужасно дорогая . На 5 часов вышло 2300 тг это ж ужас,negative
Спасибо большое ритц паласу за Новогодний подарки детям очень обрадовались детишки. И фотографии тоже дали с дедом морозом 🥳🥳🥳👍👍👍,positive
"Тут я постоянно ем в магнуме, и понял что лучшие повора у вас тут. Был в других магнумах - не то. Минус, что вечером закрывают второй этаж и туалет не доступен.",positive
"Супеееер!
💃🏻💃🏻💃🏻",positive
Охранники грубые,negative
Ходим сюда в корейский ресторанчик. Нам с мужем нравится.,positive
"Поставьте урны для мусора.. Вроде таблички везде призывающие к чистоте, а урн нехватка",neutral
Ради кикис даю 5,positive
норм тц ну еще семен снатсываеь,negative
Спасибо что исправили 😎 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
Шлагбаум тупить,neutral
Обычный торговый дом,negative
Отлично место,positive
"На парковке очень много машин, а где народ? Как замучали эти попрошайки, От малого до старого. На втором этаже пуфиков поставили, молода до часами сидите, что там так долго сидеть, некоторые спят",negative
"Капец как дорого парковка за 2,5-3 часа я оплатила 1400тг это вообще бл…((( из за этого парковка пустая, еще я удивилась почему такая пустая вот из за чего! Больше не приедем! Наши друзья Назым и Аида тоже заплатили 1400тг.",negative
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
Ритц Палас в этом году особенно красиво украсили свою территорию!,positive
Скучный ТРЦ чего то не хватает ему но в целом приемлимо есть разная кухня для любителей поесть на скорую руку есть Magnum,neutral
Сходил в туалет..,positive
Хорошее место можно не дорого поесть и уютной,positive
"30 ноября отмечали свадьбу дочери .Всё было на высшем уровне !!!🔥🔥
Не смотря на то ,что перед нами были поминки, ресторан всё подал на высшем уровне! Всё супер свежее и вкусное !!!!
Огромная благодарность повару АСИЯ , гости были в восторге как всё было вкусно , и всё свежее🔥
Администратор Дина тоже такая молодец, всё сделала ,чтобы мы ни за что не переживали 🙏
Фархад по залу , всё чётко и быстро накрыли и весь вечер координировал, чтобы всё во время подавали 🙏🙏🙏
Огромная благодарность директору ресторана Хадише, всё знает и посоветует как сделать лучше, чтобы ваш вечер ничего не омрачало.
Спасибо огромное Ресторану ,что в такой знаменательный для нас день ,вы сделали его прекрасным ! Гости и наши дети были в восторге!!!👏👏👏👏🔥🔥🔥🔥✨️✨️✨️✨️
А это самое главное!
Успехов Вам и процветания Вам !!!!! 🙏🙏🙏
Теперь только у Вас !!!😄🙏👏👏✨️✨️✨️🔥🔥🔥🔥",positive
Рицт ресторан официанты кушитт супер👍👍👍🥰. Повар кушты тамактары дамды администратор кушты,positive
"Заехал на парковку, пробыл с 18:44 до 20:00. Парковку пришлось оплатить 800тг. Почему??? Хотя час написано 300тг, а два часа 500тг",negative
Привычное для меня место,positive
Салон future by electro,positive
Ок все хорошо,positive
"Охранниктеры жаман,3 этаждан куып жыберды,зәрімізді шығарып үлгермей қалдық,техничкалары жаман,шығарып жібере береді,грубо сөйлейді,жұмыстарын міндет қылады бір менің үйімнің туалетін жуып,менің үйімді күзетіп отырғандай.бумага жоқ всегда,іші кір кір,Ерігіп жүрген ешкім жоқ👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼",negative
"Очень скучно , все дорогое",negative
"Как можно сделать бесплатную парковку 15 минут? Сделайте хотя бы 30 минут, за 15 минут не успеваешь ничего купить, доведите до администрации срочно!",negative
Какое право имеете выставлять штраф за парковку?! Якобы у меня неоплаченный заезд! Вы че с дуба рухнулись? Как тогда я могла выехать с неоплаченной парковки?! Где логика?!,negative
"Очень старое здание. Трц пора обновлять. Можно построить что-то круче на этом месте. Огромная парковка у входа, но лучше бы подземный паркинг был.",negative
"Охраник хотел выгнать дедушку,про потому что он выглядит не по дрескоду. не разрешают кушать на скамейке…",negative
С парковкой проблемы,negative
Ужасный ТЦ. Барахолка,negative
"Понаберут семье ты на должность охраны и они тут права качают и выпендриваются на всех , туалеты в ужасном состоянии ,и в магнуме охранники общаются только матами",negative
Мангал донер топ,positive
донерывкусняшка,negative
"Сдавала куртку в химчистку , сегодня получила куртку ,спасибо большое за обслуживание приемщику заказов Розе за отличное обслуживание ставлю 5",positive
Идеальный места для доставки,positive
Могло быть и лучше,negative
Беспонтовый тц,negative
"В самом центре ничего презентабельного не увидел но однако снаружи очень много прилавков еды, это и делает его более разносторонним в плане фуд-кортов.",negative
удобная парковка но мало бутиков много есть где можно по кушать,positive
Сам торговый центр грязный не очень но доски рядом имба,negative
Хороший ТЦ,positive
Откройте парковку,negative
"Шлагбаум вечно не работает . Платишь за два часа 900 тг ито нормально не работает🤦🏻‍♀️. Персонал в самом торговом центре не компетентный (колхоз).
Ездим только из-за Банзая. Жаль нашего тренера с Атакента перевели в этот ужасный ТРЦ🤦🏻‍♀️",negative
"работники магнума грубияны🤬
начал жаловаться парень девушке на меня при мне же, якобы он позвал а я не подошла.",negative
"С парковки нельзя выехать, 2 выезд не работает. Главный работает, но оплата не работает) и администрация тоже не работает видимо",negative
"Главный вопрос ЧТО ТВОРИТСЯ С ПАРКОВКОЙ 🤯 это же просто Ужас 😨 что за обман людей? Заехал на тренировку в новый Банзай, потренировался вышел перекусил и выезжаю и за парковку ТРЕБУЮТ Внимания 1900тг, до этого платил в разы меньше 😳 оператор ПРОБОРМОТАЛ ТИПА ТАРИФ ВЫРОС, а цены стоят старые 🙂‍↕️ как обычно обдирают на ровном месте 😤 ПРИМИТЕ МЕРЫ!!!",negative
"Место хорошее, наполнение слабое",neutral
"Есть все что надо. И поесть, и попить, и обувь прикупить. Магнум с нормальным ассортиментом. Да и фудкорт уличный очень разнообразен.",positive
Старший охранасы Касым Деген бала жаксы барине комектесп журеди 👍👍👍,positive
Когда будет разметка для парковочных мест? Парковка ведь платная уже длительное время. Постоянно бардак,negative
"Бұл жақсы ТЦ еді, бірақ ұзақ отыруға болмайтыны өкінішті, басқа Торговый центр сияқты. Охрана сразу қуып шығады, бірақ осы сауда орталығында ""Магнум"" болғаны үшін ғана 5 жұлдыз қоямын.",positive
"Барлығы бар, магнум, банкоматтар, терминал, қасында каспи банк бөлімшесі бар. Өте ыңғайлы.",positive
Как связаться с отделом маркетинга?,positive
"Очень вкусно, все чисто. Еще красивый вид, особенно вечером",positive
Обожаю Ритц паоасн,positive
"Что с администрацией центра? Не дозвониться, не дописаться, прихожу уже в который раз, на месте никого нет, куда обращаться ?",negative
Место тусовок 30 шг 🤟🤟🤟🤟,positive
Классная бильярдная,positive
"оте жаксы бильярд,обслужка жогары денгейде,багасына турарлык",positive
повар Мадияр молодец👏🏼,positive
Класно провели время!,positive
"Очень, круто блин капец нравится я пойду после школы",positive
хорошо и отлично,positive
"Ташкент плов өте керемет самсалары, бауырсақтары бәрі🩷🩷",positive
Арыстан хороший человек охранник,positive
Люблю это место! Очень красиво! Буд то зарубежом нахожусь 😻,positive
за туалетами вообще не следят sука !,negative
За Магнум😅👍👍,positive
Концерт кишлака был тут),positive
Четки демалдық керемет ұнады,positive
Была на концерте Кишлака,positive
Парковка дорогая,negative
Концерт кишлака тут!!!,positive
Прикольно места много интересного и тд,positive
"Хорошее обращение к пакупателям
И сотрудники осень вежливые...",positive
"За 4 часа заплатила 1900,что за беспредел?
Не у кого спросить,почему так много вышло.
Охранники ничего не знают,на выезде в будке никого нет.Кому и куда обращаться?",negative
Қолайлы жер🔥🔥👍🏻,positive
"Столкнулись с очень неприятной ситуацией, заехали в магнум в 21.10, ребенок (10 лет), захотел в туалет, но его не пустили, оказывается после 9, у них якобы все закрыто. Отправили в платный на улице, он был закрыт. В итоге ругань с охраной и поход в туалет на заправке. Сервис на уровне -10:(",negative
"Если о заведении можно судить по уборной, то Ритц Палас остался в далёких нулевых. Ок хотя бы плату за удобства не берут.",negative
"Админстрация не работает, шлагбаум не работает",negative
"Заехала на парковку. При выезде не получилось оплатить через каспи, не находил гос номер ( вводила правильно). Оператор сказал подойти к охране здания. Те подошли сказали, что это их не касается. В итоге шлагбаум вовсе не открывался с обоих сторон. Все стояли ждали не понятно кого. Охрана не знает, оператор хамил",negative
Удобно расположен для прогулок,positive
ТЦ большой есть Монго фасфудов магазины одежд и тд,positive
"Что за грабеж за 40 минут - 600 тенге паркин???!!! Что за бред!!!!

87015757775

Покупка: 600 ₸
RitcPalace
Доступно:

Оператор скинул трубку",negative
нормас место похавать в соляного,positive
Был здесь. Классное место.,positive
"Очень обидно, что ТРЦ не очень пользуется популярностью. Не нравится, что очень мало выбора по товарам. Хорошая парковка.",negative
В магнуме свежый чалап. Вкусно,positive
Тамактары өте дәмді офф өте күшті маған барлығы ұнады Админға келсек Ақкөңіл карапаиым жан 🫶,positive
Банзай когда откроется???,negative
Делали мероприятия еда была не вкусная! Как будто все искусственное,negative
Суперский торговый дом! Тут всегда есть чем перекусить на улице с друзьями после Английского курса который тоже находится тут. Спасибо!,positive
💜💜💜💜💜💜💜💜💜💜,positive
"13 июля 2024 года, просто коллапс с парковкой! Суббота, большой поток посетителей, а у вас средь бела дня дорожные работы на территории парковки. Машины в длительной очереди стоят, чтобы заехать на парковку, и в итоге не находят места. Пробки, все пути, входы и выходы забиты машинами. В итоге, так и не найдя место , с огромным трудом протиснулись к выходу, потеряв полчаса времени. Так еще и за этот ужОсище на шлагбауме потребовали оплатить 300тг . Невозмутимый голос из переговорника хамовато констатировал :""Вы же заехали, значит, были на парковке, оплатите 300тг через QR и выезжайте"". Железная логика🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ А про совесть что-нибудь и когда-нибудь работники паркинга слышали? Не стали на разбираться со всем этим беспределом только по причине того, что за нами выстроилась дикая очередь автомобилей, большая часть из которых так же, как и мы, не смогли припарковаться. Грамотно организовать процесс ремонтных работ - это очень сложно для руководства? Видимо, да, очень сложно, скорее всего, просто невозможно, в силу каких-то непреодолимых факторов, сочувствую.",negative
"Ужасное стало место!!! Парковку подняли, а за что?! Чтобы заехать туда где как попало стоят машины?! Проехать круг и заплатить за это?!
Прежде чем поднимать цены, сделайте условия!!!!",negative
Сазан очень вкусный . Не хватило разнообразия меню .,neutral
Имба место хоть ничего и нет внутри кроме Магнума но всегда туда хожу по любым причинам,positive
"Администратор женщина очень грубая. Если бы я смог, я.бы поставил ниже одной звезды. Мы хотели отпраздновать вручение диплома, та женщина всё испортила. Прошу администрации уволить такого бездаря.🤲🏻",negative
"Ритц палас, конечно, не тот, что был. Жалко, что никто не хочет его развивать, а ощущение, что только получает доходы и все. 4 звезды, потому что мне удобно, рядом с домом, многое из того, что мне надо, всегда могу там найти: продукты (Магнум), терминалы/банкоматы, постамат Каспи, распечатка фото, аксессуары для телефона, и хороший фудкорт на улице с фонтаном.",neutral
"Старый добрый ритц, всегда есть разные интересные места, всегда разные вкусные точки и можно позависать с друзьями) внутри есть все необходимое практически",positive
Хороше место где модно зависнуть и хорошо поесть,positive
"карнын ашса то самое местогой,всегда осы жактан донер жейм,еще магнум бар",positive
Решите вопрос с парковкой! Почему ваши рестораны устраивают банкеты и не бронируют для них парковку! Вы создаёте пробки и большой дискомфорт! Ладно внутри своей территории шагу ни вправо ни влево сделать. Так ещё во дворах из-за вашей Безответственности пробки! Позор,negative
Неудобный тц,negative
Спасибо за 2gis помог отличное приложения всем рекомендую круто воще спасибо,positive
"Был сегодня на поминках. Кухня 3 с плюсом, обслуживание 3+, интерьер не понятный 2+. Самса мясо было приграничным( не пахло но повкусу было понятно, что в тепле передержанное), официанты нарезку рыбную вынесли до конца не распределив гостям, да бог сним лижбы не в ыбросили(ха-ха).Микрофон на громком звуке, моя жена спросила меня как она выступила? Я ответил , что ни чего из сказанного ей не понял, хотя сидели за одним столом. Из того , что понравилось - так это наличие лифтов и туалетов..",negative
"Решите вопрос с парковой 🤦🏻‍♂️, со шлагбаумом",negative
Сделайте пожалуйста разметку на парковке.,negative
Есть магазины которые мне нужны !,positive
Охрана карамайды бомждар уйыктап жатады фуд кор артында мопед пен журеди күндіз түні елдер тамақ ішіп отқанда ақша сұрап бомждар мазаны алады,negative
