emoji,code_points,category,description
⏰,23F0          ,Basic_Emoji,alarm clock
⏳,23F3          ,Basic_Emoji,hourglass not done
♿,267F          ,Basic_Emoji,wheelchair symbol
⚓,2693          ,Basic_Emoji,anchor
⚡,26A1          ,Basic_Emoji,high voltage
⛎,26CE          ,Basic_Emoji,Ophiuchus
⛔,26D4          ,Basic_Emoji,no entry
⛪,26EA          ,Basic_Emoji,church
⛵,26F5          ,Basic_Emoji,sailboat
⛺,26FA          ,Basic_Emoji,tent
⛽,26FD          ,Basic_Emoji,fuel pump
✅,2705          ,Basic_Emoji,check mark button
✨,2728          ,Basic_Emoji,sparkles
❌,274C          ,Basic_Emoji,cross mark
❎,274E          ,Basic_Emoji,cross mark button
❗,2757          ,Basic_Emoji,red exclamation mark
➰,27B0          ,Basic_Emoji,curly loop
➿,27BF          ,Basic_Emoji,double curly loop
⭐,2B50          ,Basic_Emoji,star
⭕,2B55          ,Basic_Emoji,hollow red circle
🀄,1F004         ,Basic_Emoji,mahjong red dragon
🃏,1F0CF         ,Basic_Emoji,joker
🆎,1F18E         ,Basic_Emoji,AB button (blood type)
🈁,1F201         ,Basic_Emoji,Japanese “here” button
🈚,1F21A         ,Basic_Emoji,Japanese “free of charge” button
🈯,1F22F         ,Basic_Emoji,Japanese “reserved” button
🌏,1F30F         ,Basic_Emoji,globe showing Asia-Australia
🌐,1F310         ,Basic_Emoji,globe with meridians
🌑,1F311         ,Basic_Emoji,new moon
🌒,1F312         ,Basic_Emoji,waxing crescent moon
🌙,1F319         ,Basic_Emoji,crescent moon
🌚,1F31A         ,Basic_Emoji,new moon face
🌛,1F31B         ,Basic_Emoji,first quarter moon face
🌜,1F31C         ,Basic_Emoji,last quarter moon face
🍋,1F34B         ,Basic_Emoji,lemon
🍐,1F350         ,Basic_Emoji,pear
🍼,1F37C         ,Basic_Emoji,baby bottle
🏅,1F3C5         ,Basic_Emoji,sports medal
🏆,1F3C6         ,Basic_Emoji,trophy
🏇,1F3C7         ,Basic_Emoji,horse racing
🏈,1F3C8         ,Basic_Emoji,american football
🏉,1F3C9         ,Basic_Emoji,rugby football
🏊,1F3CA         ,Basic_Emoji,person swimming
🏤,1F3E4         ,Basic_Emoji,post office
🏴,1F3F4         ,Basic_Emoji,black flag
🐈,1F408         ,Basic_Emoji,cat
🐓,1F413         ,Basic_Emoji,rooster
🐔,1F414         ,Basic_Emoji,chicken
🐕,1F415         ,Basic_Emoji,dog
🐖,1F416         ,Basic_Emoji,pig
🐪,1F42A         ,Basic_Emoji,camel
👀,1F440         ,Basic_Emoji,eyes
👥,1F465         ,Basic_Emoji,busts in silhouette
💭,1F4AD         ,Basic_Emoji,thought balloon
📮,1F4EE         ,Basic_Emoji,postbox
📯,1F4EF         ,Basic_Emoji,postal horn
📵,1F4F5         ,Basic_Emoji,no mobile phones
📸,1F4F8         ,Basic_Emoji,camera with flash
🔃,1F503         ,Basic_Emoji,clockwise vertical arrows
🔈,1F508         ,Basic_Emoji,speaker low volume
🔉,1F509         ,Basic_Emoji,speaker medium volume
🔕,1F515         ,Basic_Emoji,bell with slash
🕺,1F57A         ,Basic_Emoji,man dancing
🖤,1F5A4         ,Basic_Emoji,black heart
😀,1F600         ,Basic_Emoji,grinning face
😎,1F60E         ,Basic_Emoji,smiling face with sunglasses
😏,1F60F         ,Basic_Emoji,smirking face
😐,1F610         ,Basic_Emoji,neutral face
😑,1F611         ,Basic_Emoji,expressionless face
😕,1F615         ,Basic_Emoji,confused face
😖,1F616         ,Basic_Emoji,confounded face
😗,1F617         ,Basic_Emoji,kissing face
😘,1F618         ,Basic_Emoji,face blowing a kiss
😙,1F619         ,Basic_Emoji,kissing face with smiling eyes
😚,1F61A         ,Basic_Emoji,kissing face with closed eyes
😛,1F61B         ,Basic_Emoji,face with tongue
😟,1F61F         ,Basic_Emoji,worried face
😬,1F62C         ,Basic_Emoji,grimacing face
😭,1F62D         ,Basic_Emoji,loudly crying face
😴,1F634         ,Basic_Emoji,sleeping face
😵,1F635         ,Basic_Emoji,face with crossed-out eyes
😶,1F636         ,Basic_Emoji,face without mouth
🚀,1F680         ,Basic_Emoji,rocket
🚆,1F686         ,Basic_Emoji,train
🚇,1F687         ,Basic_Emoji,metro
🚈,1F688         ,Basic_Emoji,light rail
🚉,1F689         ,Basic_Emoji,station
🚌,1F68C         ,Basic_Emoji,bus
🚍,1F68D         ,Basic_Emoji,oncoming bus
🚎,1F68E         ,Basic_Emoji,trolleybus
🚏,1F68F         ,Basic_Emoji,bus stop
🚐,1F690         ,Basic_Emoji,minibus
🚔,1F694         ,Basic_Emoji,oncoming police car
🚕,1F695         ,Basic_Emoji,taxi
🚖,1F696         ,Basic_Emoji,oncoming taxi
🚗,1F697         ,Basic_Emoji,automobile
🚘,1F698         ,Basic_Emoji,oncoming automobile
🚢,1F6A2         ,Basic_Emoji,ship
🚣,1F6A3         ,Basic_Emoji,person rowing boat
🚦,1F6A6         ,Basic_Emoji,vertical traffic light
🚲,1F6B2         ,Basic_Emoji,bicycle
🚶,1F6B6         ,Basic_Emoji,person walking
🚿,1F6BF         ,Basic_Emoji,shower
🛀,1F6C0         ,Basic_Emoji,person taking bath
🛌,1F6CC         ,Basic_Emoji,person in bed
🛐,1F6D0         ,Basic_Emoji,place of worship
🛕,1F6D5         ,Basic_Emoji,hindu temple
🛜,1F6DC         ,Basic_Emoji,wireless
🛹,1F6F9         ,Basic_Emoji,skateboard
🛺,1F6FA         ,Basic_Emoji,auto rickshaw
🟰,1F7F0         ,Basic_Emoji,heavy equals sign
🤌,1F90C         ,Basic_Emoji,pinched fingers
🤟,1F91F         ,Basic_Emoji,love-you gesture
🤰,1F930         ,Basic_Emoji,pregnant woman
🤿,1F93F         ,Basic_Emoji,diving mask
🥌,1F94C         ,Basic_Emoji,curling stone
🥱,1F971         ,Basic_Emoji,yawning face
🥲,1F972         ,Basic_Emoji,smiling face with tear
🥹,1F979         ,Basic_Emoji,face holding back tears
🥺,1F97A         ,Basic_Emoji,pleading face
🥻,1F97B         ,Basic_Emoji,sari
🧀,1F9C0         ,Basic_Emoji,cheese wedge
🧋,1F9CB         ,Basic_Emoji,bubble tea
🧌,1F9CC         ,Basic_Emoji,troll
🩴,1FA74         ,Basic_Emoji,thong sandal
🪉,1FA89         ,Basic_Emoji,harp
🪏,1FA8F         ,Basic_Emoji,shovel
🪾,1FABE         ,Basic_Emoji,leafless tree
🪿,1FABF         ,Basic_Emoji,goose
🫆,1FAC6         ,Basic_Emoji,fingerprint
🫜,1FADC         ,Basic_Emoji,root vegetable
🫟,1FADF         ,Basic_Emoji,splatter
🫨,1FAE8         ,Basic_Emoji,shaking face
🫩,1FAE9         ,Basic_Emoji,face with bags under eyes
©️,00A9 FE0F     ,Basic_Emoji,copyright
®️,00AE FE0F     ,Basic_Emoji,registered
‼️,203C FE0F     ,Basic_Emoji,double exclamation mark
⁉️,2049 FE0F     ,Basic_Emoji,exclamation question mark
™️,2122 FE0F     ,Basic_Emoji,trade mark
ℹ️,2139 FE0F     ,Basic_Emoji,information
↔️,2194 FE0F     ,Basic_Emoji,left-right arrow
↕️,2195 FE0F     ,Basic_Emoji,up-down arrow
↖️,2196 FE0F     ,Basic_Emoji,up-left arrow
↗️,2197 FE0F     ,Basic_Emoji,up-right arrow
↘️,2198 FE0F     ,Basic_Emoji,down-right arrow
↙️,2199 FE0F     ,Basic_Emoji,down-left arrow
↩️,21A9 FE0F     ,Basic_Emoji,right arrow curving left
↪️,21AA FE0F     ,Basic_Emoji,left arrow curving right
⌨️,2328 FE0F     ,Basic_Emoji,keyboard
⏏️,23CF FE0F     ,Basic_Emoji,eject button
⏭️,23ED FE0F     ,Basic_Emoji,next track button
⏮️,23EE FE0F     ,Basic_Emoji,last track button
⏯️,23EF FE0F     ,Basic_Emoji,play or pause button
⏱️,23F1 FE0F     ,Basic_Emoji,stopwatch
⏲️,23F2 FE0F     ,Basic_Emoji,timer clock
⏸️,23F8 FE0F     ,Basic_Emoji,pause button
⏹️,23F9 FE0F     ,Basic_Emoji,stop button
⏺️,23FA FE0F     ,Basic_Emoji,record button
Ⓜ️,24C2 FE0F     ,Basic_Emoji,circled M
▪️,25AA FE0F     ,Basic_Emoji,black small square
▫️,25AB FE0F     ,Basic_Emoji,white small square
▶️,25B6 FE0F     ,Basic_Emoji,play button
◀️,25C0 FE0F     ,Basic_Emoji,reverse button
◻️,25FB FE0F     ,Basic_Emoji,white medium square
◼️,25FC FE0F     ,Basic_Emoji,black medium square
☀️,2600 FE0F     ,Basic_Emoji,sun
☁️,2601 FE0F     ,Basic_Emoji,cloud
☂️,2602 FE0F     ,Basic_Emoji,umbrella
☃️,2603 FE0F     ,Basic_Emoji,snowman
☄️,2604 FE0F     ,Basic_Emoji,comet
☎️,260E FE0F     ,Basic_Emoji,telephone
☑️,2611 FE0F     ,Basic_Emoji,check box with check
☘️,2618 FE0F     ,Basic_Emoji,shamrock
☝️,261D FE0F     ,Basic_Emoji,index pointing up
☠️,2620 FE0F     ,Basic_Emoji,skull and crossbones
☢️,2622 FE0F     ,Basic_Emoji,radioactive
☣️,2623 FE0F     ,Basic_Emoji,biohazard
☦️,2626 FE0F     ,Basic_Emoji,orthodox cross
☪️,262A FE0F     ,Basic_Emoji,star and crescent
☮️,262E FE0F     ,Basic_Emoji,peace symbol
☯️,262F FE0F     ,Basic_Emoji,yin yang
☸️,2638 FE0F     ,Basic_Emoji,wheel of dharma
☹️,2639 FE0F     ,Basic_Emoji,frowning face
☺️,263A FE0F     ,Basic_Emoji,smiling face
♀️,2640 FE0F     ,Basic_Emoji,female sign
♂️,2642 FE0F     ,Basic_Emoji,male sign
♟️,265F FE0F     ,Basic_Emoji,chess pawn
♠️,2660 FE0F     ,Basic_Emoji,spade suit
♣️,2663 FE0F     ,Basic_Emoji,club suit
♥️,2665 FE0F     ,Basic_Emoji,heart suit
♦️,2666 FE0F     ,Basic_Emoji,diamond suit
♨️,2668 FE0F     ,Basic_Emoji,hot springs
♻️,267B FE0F     ,Basic_Emoji,recycling symbol
♾️,267E FE0F     ,Basic_Emoji,infinity
⚒️,2692 FE0F     ,Basic_Emoji,hammer and pick
⚔️,2694 FE0F     ,Basic_Emoji,crossed swords
⚕️,2695 FE0F     ,Basic_Emoji,medical symbol
⚖️,2696 FE0F     ,Basic_Emoji,balance scale
⚗️,2697 FE0F     ,Basic_Emoji,alembic
⚙️,2699 FE0F     ,Basic_Emoji,gear
⚛️,269B FE0F     ,Basic_Emoji,atom symbol
⚜️,269C FE0F     ,Basic_Emoji,fleur-de-lis
⚠️,26A0 FE0F     ,Basic_Emoji,warning
⚧️,26A7 FE0F     ,Basic_Emoji,transgender symbol
⚰️,26B0 FE0F     ,Basic_Emoji,coffin
⚱️,26B1 FE0F     ,Basic_Emoji,funeral urn
⛈️,26C8 FE0F     ,Basic_Emoji,cloud with lightning and rain
⛏️,26CF FE0F     ,Basic_Emoji,pick
⛑️,26D1 FE0F     ,Basic_Emoji,rescue worker’s helmet
⛓️,26D3 FE0F     ,Basic_Emoji,chains
⛩️,26E9 FE0F     ,Basic_Emoji,shinto shrine
⛰️,26F0 FE0F     ,Basic_Emoji,mountain
⛱️,26F1 FE0F     ,Basic_Emoji,umbrella on ground
⛴️,26F4 FE0F     ,Basic_Emoji,ferry
⛷️,26F7 FE0F     ,Basic_Emoji,skier
⛸️,26F8 FE0F     ,Basic_Emoji,ice skate
⛹️,26F9 FE0F     ,Basic_Emoji,person bouncing ball
✂️,2702 FE0F     ,Basic_Emoji,scissors
✈️,2708 FE0F     ,Basic_Emoji,airplane
✉️,2709 FE0F     ,Basic_Emoji,envelope
✌️,270C FE0F     ,Basic_Emoji,victory hand
✍️,270D FE0F     ,Basic_Emoji,writing hand
✏️,270F FE0F     ,Basic_Emoji,pencil
✒️,2712 FE0F     ,Basic_Emoji,black nib
✔️,2714 FE0F     ,Basic_Emoji,check mark
✖️,2716 FE0F     ,Basic_Emoji,multiply
✝️,271D FE0F     ,Basic_Emoji,latin cross
✡️,2721 FE0F     ,Basic_Emoji,star of David
✳️,2733 FE0F     ,Basic_Emoji,eight-spoked asterisk
✴️,2734 FE0F     ,Basic_Emoji,eight-pointed star
❄️,2744 FE0F     ,Basic_Emoji,snowflake
❇️,2747 FE0F     ,Basic_Emoji,sparkle
❣️,2763 FE0F     ,Basic_Emoji,heart exclamation
❤️,2764 FE0F     ,Basic_Emoji,red heart
➡️,27A1 FE0F     ,Basic_Emoji,right arrow
⤴️,2934 FE0F     ,Basic_Emoji,right arrow curving up
⤵️,2935 FE0F     ,Basic_Emoji,right arrow curving down
⬅️,2B05 FE0F     ,Basic_Emoji,left arrow
⬆️,2B06 FE0F     ,Basic_Emoji,up arrow
⬇️,2B07 FE0F     ,Basic_Emoji,down arrow
〰️,3030 FE0F     ,Basic_Emoji,wavy dash
〽️,303D FE0F     ,Basic_Emoji,part alternation mark
㊗️,3297 FE0F     ,Basic_Emoji,Japanese “congratulations” button
㊙️,3299 FE0F     ,Basic_Emoji,Japanese “secret” button
🅰️,1F170 FE0F    ,Basic_Emoji,A button (blood type)
🅱️,1F171 FE0F    ,Basic_Emoji,B button (blood type)
🅾️,1F17E FE0F    ,Basic_Emoji,O button (blood type)
🅿️,1F17F FE0F    ,Basic_Emoji,P button
🈂️,1F202 FE0F    ,Basic_Emoji,Japanese “service charge” button
🈷️,1F237 FE0F    ,Basic_Emoji,Japanese “monthly amount” button
🌡️,1F321 FE0F    ,Basic_Emoji,thermometer
🌤️,1F324 FE0F    ,Basic_Emoji,sun behind small cloud
🌥️,1F325 FE0F    ,Basic_Emoji,sun behind large cloud
🌦️,1F326 FE0F    ,Basic_Emoji,sun behind rain cloud
🌧️,1F327 FE0F    ,Basic_Emoji,cloud with rain
🌨️,1F328 FE0F    ,Basic_Emoji,cloud with snow
🌩️,1F329 FE0F    ,Basic_Emoji,cloud with lightning
🌪️,1F32A FE0F    ,Basic_Emoji,tornado
🌫️,1F32B FE0F    ,Basic_Emoji,fog
🌬️,1F32C FE0F    ,Basic_Emoji,wind face
🌶️,1F336 FE0F    ,Basic_Emoji,hot pepper
🍽️,1F37D FE0F    ,Basic_Emoji,fork and knife with plate
🎖️,1F396 FE0F    ,Basic_Emoji,military medal
🎗️,1F397 FE0F    ,Basic_Emoji,reminder ribbon
🎙️,1F399 FE0F    ,Basic_Emoji,studio microphone
🎚️,1F39A FE0F    ,Basic_Emoji,level slider
🎛️,1F39B FE0F    ,Basic_Emoji,control knobs
🎞️,1F39E FE0F    ,Basic_Emoji,film frames
🎟️,1F39F FE0F    ,Basic_Emoji,admission tickets
🏋️,1F3CB FE0F    ,Basic_Emoji,person lifting weights
🏌️,1F3CC FE0F    ,Basic_Emoji,person golfing
🏍️,1F3CD FE0F    ,Basic_Emoji,motorcycle
🏎️,1F3CE FE0F    ,Basic_Emoji,racing car
🏔️,1F3D4 FE0F    ,Basic_Emoji,snow-capped mountain
🏕️,1F3D5 FE0F    ,Basic_Emoji,camping
🏖️,1F3D6 FE0F    ,Basic_Emoji,beach with umbrella
🏗️,1F3D7 FE0F    ,Basic_Emoji,building construction
🏘️,1F3D8 FE0F    ,Basic_Emoji,houses
🏙️,1F3D9 FE0F    ,Basic_Emoji,cityscape
🏚️,1F3DA FE0F    ,Basic_Emoji,derelict house
🏛️,1F3DB FE0F    ,Basic_Emoji,classical building
🏜️,1F3DC FE0F    ,Basic_Emoji,desert
🏝️,1F3DD FE0F    ,Basic_Emoji,desert island
🏞️,1F3DE FE0F    ,Basic_Emoji,national park
🏟️,1F3DF FE0F    ,Basic_Emoji,stadium
🏳️,1F3F3 FE0F    ,Basic_Emoji,white flag
🏵️,1F3F5 FE0F    ,Basic_Emoji,rosette
🏷️,1F3F7 FE0F    ,Basic_Emoji,label
🐿️,1F43F FE0F    ,Basic_Emoji,chipmunk
👁️,1F441 FE0F    ,Basic_Emoji,eye
📽️,1F4FD FE0F    ,Basic_Emoji,film projector
🕉️,1F549 FE0F    ,Basic_Emoji,om
🕊️,1F54A FE0F    ,Basic_Emoji,dove
🕯️,1F56F FE0F    ,Basic_Emoji,candle
🕰️,1F570 FE0F    ,Basic_Emoji,mantelpiece clock
🕳️,1F573 FE0F    ,Basic_Emoji,hole
