emoji,code_points,status,name
😀,1F600                                                  ,fully-qualified,grinning face
😃,1F603                                                  ,fully-qualified,grinning face with big eyes
😄,1F604                                                  ,fully-qualified,grinning face with smiling eyes
😁,1F601                                                  ,fully-qualified,beaming face with smiling eyes
😆,1F606                                                  ,fully-qualified,grinning squinting face
😅,1F605                                                  ,fully-qualified,grinning face with sweat
🤣,1F923                                                  ,fully-qualified,rolling on the floor laughing
😂,1F602                                                  ,fully-qualified,face with tears of joy
🙂,1F642                                                  ,fully-qualified,slightly smiling face
🙃,1F643                                                  ,fully-qualified,upside-down face
🫠,1FAE0                                                  ,fully-qualified,melting face
😉,1F609                                                  ,fully-qualified,winking face
😊,1F60A                                                  ,fully-qualified,smiling face with smiling eyes
😇,1F607                                                  ,fully-qualified,smiling face with halo
🥰,1F970                                                  ,fully-qualified,smiling face with hearts
😍,1F60D                                                  ,fully-qualified,smiling face with heart-eyes
🤩,1F929                                                  ,fully-qualified,star-struck
😘,1F618                                                  ,fully-qualified,face blowing a kiss
😗,1F617                                                  ,fully-qualified,kissing face
☺️,263A FE0F                                              ,fully-qualified,smiling face
☺,263A                                                   ,unqualified,smiling face
😚,1F61A                                                  ,fully-qualified,kissing face with closed eyes
😙,1F619                                                  ,fully-qualified,kissing face with smiling eyes
🥲,1F972                                                  ,fully-qualified,smiling face with tear
😋,1F60B                                                  ,fully-qualified,face savoring food
😛,1F61B                                                  ,fully-qualified,face with tongue
😜,1F61C                                                  ,fully-qualified,winking face with tongue
🤪,1F92A                                                  ,fully-qualified,zany face
😝,1F61D                                                  ,fully-qualified,squinting face with tongue
🤑,1F911                                                  ,fully-qualified,money-mouth face
🤗,1F917                                                  ,fully-qualified,smiling face with open hands
🤭,1F92D                                                  ,fully-qualified,face with hand over mouth
🫢,1FAE2                                                  ,fully-qualified,face with open eyes and hand over mouth
🫣,1FAE3                                                  ,fully-qualified,face with peeking eye
🤫,1F92B                                                  ,fully-qualified,shushing face
🤔,1F914                                                  ,fully-qualified,thinking face
🫡,1FAE1                                                  ,fully-qualified,saluting face
🤐,1F910                                                  ,fully-qualified,zipper-mouth face
🤨,1F928                                                  ,fully-qualified,face with raised eyebrow
😐,1F610                                                  ,fully-qualified,neutral face
😑,1F611                                                  ,fully-qualified,expressionless face
😶,1F636                                                  ,fully-qualified,face without mouth
🫥,1FAE5                                                  ,fully-qualified,dotted line face
😶‍🌫️,1F636 200D 1F32B FE0F                                  ,fully-qualified,face in clouds
😶‍🌫,1F636 200D 1F32B                                       ,minimally-qualified,face in clouds
😏,1F60F                                                  ,fully-qualified,smirking face
😒,1F612                                                  ,fully-qualified,unamused face
🙄,1F644                                                  ,fully-qualified,face with rolling eyes
😬,1F62C                                                  ,fully-qualified,grimacing face
😮‍💨,1F62E 200D 1F4A8                                       ,fully-qualified,face exhaling
🤥,1F925                                                  ,fully-qualified,lying face
🫨,1FAE8                                                  ,fully-qualified,shaking face
🙂‍↔️,1F642 200D 2194 FE0F                                   ,fully-qualified,head shaking horizontally
🙂‍↔,1F642 200D 2194                                        ,minimally-qualified,head shaking horizontally
🙂‍↕️,1F642 200D 2195 FE0F                                   ,fully-qualified,head shaking vertically
🙂‍↕,1F642 200D 2195                                        ,minimally-qualified,head shaking vertically
😌,1F60C                                                  ,fully-qualified,relieved face
😔,1F614                                                  ,fully-qualified,pensive face
😪,1F62A                                                  ,fully-qualified,sleepy face
🤤,1F924                                                  ,fully-qualified,drooling face
😴,1F634                                                  ,fully-qualified,sleeping face
🫩,1FAE9                                                  ,fully-qualified,face with bags under eyes
😷,1F637                                                  ,fully-qualified,face with medical mask
🤒,1F912                                                  ,fully-qualified,face with thermometer
🤕,1F915                                                  ,fully-qualified,face with head-bandage
🤢,1F922                                                  ,fully-qualified,nauseated face
🤮,1F92E                                                  ,fully-qualified,face vomiting
🤧,1F927                                                  ,fully-qualified,sneezing face
🥵,1F975                                                  ,fully-qualified,hot face
🥶,1F976                                                  ,fully-qualified,cold face
🥴,1F974                                                  ,fully-qualified,woozy face
😵,1F635                                                  ,fully-qualified,face with crossed-out eyes
😵‍💫,1F635 200D 1F4AB                                       ,fully-qualified,face with spiral eyes
🤯,1F92F                                                  ,fully-qualified,exploding head
🤠,1F920                                                  ,fully-qualified,cowboy hat face
🥳,1F973                                                  ,fully-qualified,partying face
🥸,1F978                                                  ,fully-qualified,disguised face
😎,1F60E                                                  ,fully-qualified,smiling face with sunglasses
🤓,1F913                                                  ,fully-qualified,nerd face
🧐,1F9D0                                                  ,fully-qualified,face with monocle
😕,1F615                                                  ,fully-qualified,confused face
🫤,1FAE4                                                  ,fully-qualified,face with diagonal mouth
😟,1F61F                                                  ,fully-qualified,worried face
🙁,1F641                                                  ,fully-qualified,slightly frowning face
☹️,2639 FE0F                                              ,fully-qualified,frowning face
☹,2639                                                   ,unqualified,frowning face
😮,1F62E                                                  ,fully-qualified,face with open mouth
😯,1F62F                                                  ,fully-qualified,hushed face
😲,1F632                                                  ,fully-qualified,astonished face
😳,1F633                                                  ,fully-qualified,flushed face
🥺,1F97A                                                  ,fully-qualified,pleading face
🥹,1F979                                                  ,fully-qualified,face holding back tears
😦,1F626                                                  ,fully-qualified,frowning face with open mouth
😧,1F627                                                  ,fully-qualified,anguished face
😨,1F628                                                  ,fully-qualified,fearful face
😰,1F630                                                  ,fully-qualified,anxious face with sweat
😥,1F625                                                  ,fully-qualified,sad but relieved face
