emoji,code_points,description
👨‍❤️‍👨,1F468 200D 2764 FE0F 200D 1F468             ,"couple with heart: man, man"
👨‍❤️‍💋‍👨,1F468 200D 2764 FE0F 200D 1F48B 200D 1F468  ,"kiss: man, man"
👨‍👦,1F468 200D 1F466                            ,"family: man, boy"
👨‍👦‍👦,1F468 200D 1F466 200D 1F466                 ,"family: man, boy, boy"
👨‍👧,1F468 200D 1F467                            ,"family: man, girl"
👨‍👧‍👦,1F468 200D 1F467 200D 1F466                 ,"family: man, girl, boy"
👨‍👧‍👧,1F468 200D 1F467 200D 1F467                 ,"family: man, girl, girl"
👨‍👨‍👦,1F468 200D 1F468 200D 1F466                 ,"family: man, man, boy"
👨‍👨‍👦‍👦,1F468 200D 1F468 200D 1F466 200D 1F466      ,"family: man, man, boy, boy"
👨‍👨‍👧,1F468 200D 1F468 200D 1F467                 ,"family: man, man, girl"
👨‍👨‍👧‍👦,1F468 200D 1F468 200D 1F467 200D 1F466      ,"family: man, man, girl, boy"
👨‍👨‍👧‍👧,1F468 200D 1F468 200D 1F467 200D 1F467      ,"family: man, man, girl, girl"
👨‍👩‍👦,1F468 200D 1F469 200D 1F466                 ,"family: man, woman, boy"
👨‍👩‍👦‍👦,1F468 200D 1F469 200D 1F466 200D 1F466      ,"family: man, woman, boy, boy"
👨‍👩‍👧,1F468 200D 1F469 200D 1F467                 ,"family: man, woman, girl"
👨‍👩‍👧‍👦,1F468 200D 1F469 200D 1F467 200D 1F466      ,"family: man, woman, girl, boy"
👨‍👩‍👧‍👧,1F468 200D 1F469 200D 1F467 200D 1F467      ,"family: man, woman, girl, girl"
👨🏻‍❤️‍👨🏻,1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB ,"couple with heart: man, man, light skin tone"
👨🏻‍❤️‍👨🏼,1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC ,"couple with heart: man, man, light skin tone, medium-light skin tone"
👨🏻‍❤️‍👨🏽,1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD ,"couple with heart: man, man, light skin tone, medium skin tone"
👨🏻‍❤️‍👨🏾,1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE ,"couple with heart: man, man, light skin tone, medium-dark skin tone"
👨🏻‍❤️‍👨🏿,1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FF ,"couple with heart: man, man, light skin tone, dark skin tone"
👨🏻‍❤️‍💋‍👨🏻,1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB,"kiss: man, man, light skin tone"
👨🏻‍❤️‍💋‍👨🏼,1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC,"kiss: man, man, light skin tone, medium-light skin tone"
👨🏻‍❤️‍💋‍👨🏽,1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD,"kiss: man, man, light skin tone, medium skin tone"
👨🏻‍❤️‍💋‍👨🏾,1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE,"kiss: man, man, light skin tone, medium-dark skin tone"
👨🏻‍❤️‍💋‍👨🏿,1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF,"kiss: man, man, light skin tone, dark skin tone"
👨🏻‍🤝‍👨🏼,1F468 1F3FB 200D 1F91D 200D 1F468 1F3FC     ,"men holding hands: light skin tone, medium-light skin tone"
👨🏻‍🤝‍👨🏽,1F468 1F3FB 200D 1F91D 200D 1F468 1F3FD     ,"men holding hands: light skin tone, medium skin tone"
👨🏻‍🤝‍👨🏾,1F468 1F3FB 200D 1F91D 200D 1F468 1F3FE     ,"men holding hands: light skin tone, medium-dark skin tone"
