emoji,code_points,description
#⃣,0023 20E3                                              ,keycap: #
#️⃣,0023 FE0F 20E3,keycap: \x{23}
*⃣,002A 20E3                                              ,keycap: *
*️⃣,002A FE0F 20E3,keycap: *
0⃣,0030 20E3                                              ,keycap: 0
0️⃣,0030 FE0F 20E3,keycap: 0
1⃣,0031 20E3                                              ,keycap: 1
1️⃣,0031 FE0F 20E3,keycap: 1
2⃣,0032 20E3                                              ,keycap: 2
2️⃣,0032 FE0F 20E3,keycap: 2
3⃣,0033 20E3                                              ,keycap: 3
3️⃣,0033 FE0F 20E3,keycap: 3
4⃣,0034 20E3                                              ,keycap: 4
4️⃣,0034 FE0F 20E3,keycap: 4
5⃣,0035 20E3                                              ,keycap: 5
5️⃣,0035 FE0F 20E3,keycap: 5
6⃣,0036 20E3                                              ,keycap: 6
6️⃣,0036 FE0F 20E3,keycap: 6
7⃣,0037 20E3                                              ,keycap: 7
7️⃣,0037 FE0F 20E3,keycap: 7
8⃣,0038 20E3                                              ,keycap: 8
8️⃣,0038 FE0F 20E3,keycap: 8
9⃣,0039 20E3                                              ,keycap: 9
9️⃣,0039 FE0F 20E3,keycap: 9
©,00A9                                                   ,copyright
©️,00A9 FE0F     ,copyright
®,00AE                                                   ,registered
®️,00AE FE0F     ,registered
‼,203C                                                   ,double exclamation mark
‼️,203C FE0F     ,double exclamation mark
⁉,2049                                                   ,exclamation question mark
⁉️,2049 FE0F     ,exclamation question mark
™,2122                                                   ,trade mark
™️,2122 FE0F     ,trade mark
ℹ,2139                                                   ,information
ℹ️,2139 FE0F     ,information
↔,2194                                                   ,left-right arrow
↔️,2194 FE0F     ,left-right arrow
↕,2195                                                   ,up-down arrow
↕️,2195 FE0F     ,up-down arrow
↖,2196                                                   ,up-left arrow
↖️,2196 FE0F     ,up-left arrow
↗,2197                                                   ,up-right arrow
↗️,2197 FE0F     ,up-right arrow
↘,2198                                                   ,down-right arrow
↘️,2198 FE0F     ,down-right arrow
↙,2199                                                   ,down-left arrow
↙️,2199 FE0F     ,down-left arrow
↩,21A9                                                   ,right arrow curving left
↩️,21A9 FE0F     ,right arrow curving left
↪,21AA                                                   ,left arrow curving right
↪️,21AA FE0F     ,left arrow curving right
⌚,231A                                                   ,watch
⌛,231B                                                   ,hourglass done
⌨,2328                                                   ,keyboard
⌨️,2328 FE0F     ,keyboard
⏏,23CF                                                   ,eject button
⏏️,23CF FE0F     ,eject button
⏩,23E9                                                   ,fast-forward button
⏪,23EA                                                   ,fast reverse button
⏫,23EB                                                   ,fast up button
⏬,23EC                                                   ,fast down button
⏭,23ED                                                   ,next track button
⏭️,23ED FE0F     ,next track button
⏮,23EE                                                   ,last track button
⏮️,23EE FE0F     ,last track button
⏯,23EF                                                   ,play or pause button
⏯️,23EF FE0F     ,play or pause button
⏰,23F0          ,alarm clock
⏱,23F1                                                   ,stopwatch
⏱️,23F1 FE0F     ,stopwatch
⏲,23F2                                                   ,timer clock
⏲️,23F2 FE0F     ,timer clock
⏳,23F3          ,hourglass not done
⏸,23F8                                                   ,pause button
⏸️,23F8 FE0F     ,pause button
⏹,23F9                                                   ,stop button
⏹️,23F9 FE0F     ,stop button
⏺,23FA                                                   ,record button
⏺️,23FA FE0F     ,record button
Ⓜ,24C2                                                   ,circled M
Ⓜ️,24C2 FE0F     ,circled M
▪,25AA                                                   ,black small square
▪️,25AA FE0F     ,black small square
▫,25AB                                                   ,white small square
▫️,25AB FE0F     ,white small square
▶,25B6                                                   ,play button
▶️,25B6 FE0F     ,play button
◀,25C0                                                   ,reverse button
◀️,25C0 FE0F     ,reverse button
◻,25FB                                                   ,white medium square
◻️,25FB FE0F     ,white medium square
◼,25FC                                                   ,black medium square
◼️,25FC FE0F     ,black medium square
◽,25FD                                                   ,white medium-small square
◾,25FE                                                   ,black medium-small square
☀,2600                                                   ,sun
☀️,2600 FE0F     ,sun
☁,2601                                                   ,cloud
☁️,2601 FE0F     ,cloud
☂,2602                                                   ,umbrella
☂️,2602 FE0F     ,umbrella
☃,2603                                                   ,snowman
☃️,2603 FE0F     ,snowman
☄,2604                                                   ,comet
☄️,2604 FE0F     ,comet
☎,260E                                                   ,telephone
☎️,260E FE0F     ,telephone
☑,2611                                                   ,check box with check
☑️,2611 FE0F     ,check box with check
☔,2614                                                   ,umbrella with rain drops
☕,2615                                                   ,hot beverage
☘,2618                                                   ,shamrock
☘️,2618 FE0F     ,shamrock
☝,261D                                                   ,index pointing up
☝️,261D FE0F     ,index pointing up
☝🏻,261D 1F3FB    ,index pointing up: light skin tone
☝🏼,261D 1F3FC    ,index pointing up: medium-light skin tone
☝🏽,261D 1F3FD    ,index pointing up: medium skin tone
☝🏾,261D 1F3FE    ,index pointing up: medium-dark skin tone
☝🏿,261D 1F3FF    ,index pointing up: dark skin tone
☠,2620                                                   ,skull and crossbones
☠️,2620 FE0F     ,skull and crossbones
☢,2622                                                   ,radioactive
☢️,2622 FE0F     ,radioactive
☣,2623                                                   ,biohazard
☣️,2623 FE0F     ,biohazard
☦,2626                                                   ,orthodox cross
☦️,2626 FE0F     ,orthodox cross
☪,262A                                                   ,star and crescent
☪️,262A FE0F     ,star and crescent
☮,262E                                                   ,peace symbol
☮️,262E FE0F     ,peace symbol
☯,262F                                                   ,yin yang
☯️,262F FE0F     ,yin yang
☸,2638                                                   ,wheel of dharma
☸️,2638 FE0F     ,wheel of dharma
☹,2639                                                   ,frowning face
☹️,2639 FE0F     ,frowning face
☺,263A                                                   ,smiling face
☺️,263A FE0F     ,smiling face
♀,2640                                                   ,female sign
♀️,2640 FE0F     ,female sign
♂,2642                                                   ,male sign
♂️,2642 FE0F     ,male sign
♈,2648                                                   ,Aries
♉,2649                                                   ,Taurus
♊,264A                                                   ,Gemini
♋,264B                                                   ,Cancer
♌,264C                                                   ,Leo
♍,264D                                                   ,Virgo
♎,264E                                                   ,Libra
♏,264F                                                   ,Scorpio
♐,2650                                                   ,Sagittarius
♑,2651                                                   ,Capricorn
♒,2652                                                   ,Aquarius
♓,2653                                                   ,Pisces
♟,265F                                                   ,chess pawn
♟️,265F FE0F     ,chess pawn
♠,2660                                                   ,spade suit
♠️,2660 FE0F     ,spade suit
♣,2663                                                   ,club suit
♣️,2663 FE0F     ,club suit
♥,2665                                                   ,heart suit
♥️,2665 FE0F     ,heart suit
♦,2666                                                   ,diamond suit
♦️,2666 FE0F     ,diamond suit
♨,2668                                                   ,hot springs
♨️,2668 FE0F     ,hot springs
♻,267B                                                   ,recycling symbol
♻️,267B FE0F     ,recycling symbol
♾,267E                                                   ,infinity
♾️,267E FE0F     ,infinity
♿,267F          ,wheelchair symbol
⚒,2692                                                   ,hammer and pick
⚒️,2692 FE0F     ,hammer and pick
⚓,2693          ,anchor
⚔,2694                                                   ,crossed swords
⚔️,2694 FE0F     ,crossed swords
⚕,2695                                                   ,medical symbol
⚕️,2695 FE0F     ,medical symbol
⚖,2696                                                   ,balance scale
⚖️,2696 FE0F     ,balance scale
⚗,2697                                                   ,alembic
⚗️,2697 FE0F     ,alembic
⚙,2699                                                   ,gear
⚙️,2699 FE0F     ,gear
⚛,269B                                                   ,atom symbol
⚛️,269B FE0F     ,atom symbol
⚜,269C                                                   ,fleur-de-lis
⚜️,269C FE0F     ,fleur-de-lis
⚠,26A0                                                   ,warning
⚠️,26A0 FE0F     ,warning
⚡,26A1          ,high voltage
⚧,26A7                                                   ,transgender symbol
⚧️,26A7 FE0F     ,transgender symbol
⚪,26AA                                                   ,white circle
⚫,26AB                                                   ,black circle
⚰,26B0                                                   ,coffin
⚰️,26B0 FE0F     ,coffin
⚱,26B1                                                   ,funeral urn
⚱️,26B1 FE0F     ,funeral urn
⚽,26BD                                                   ,soccer ball
⚾,26BE                                                   ,baseball
⛄,26C4                                                   ,snowman without snow
⛅,26C5                                                   ,sun behind cloud
⛈,26C8                                                   ,cloud with lightning and rain
⛈️,26C8 FE0F     ,cloud with lightning and rain
⛎,26CE          ,Ophiuchus
⛏,26CF                                                   ,pick
⛏️,26CF FE0F     ,pick
⛑,26D1                                                   ,rescue worker’s helmet
⛑️,26D1 FE0F     ,rescue worker’s helmet
⛓,26D3                                                   ,chains
⛓‍💥,26D3 200D 1F4A5                                        ,broken chain
⛓️,26D3 FE0F     ,chains
⛓️‍💥,26D3 FE0F 200D 1F4A5                                   ,broken chain
⛔,26D4          ,no entry
⛩,26E9                                                   ,shinto shrine
⛩️,26E9 FE0F     ,shinto shrine
⛪,26EA          ,church
⛰,26F0                                                   ,mountain
⛰️,26F0 FE0F     ,mountain
⛱,26F1                                                   ,umbrella on ground
⛱️,26F1 FE0F     ,umbrella on ground
⛲,26F2                                                   ,fountain
⛳,26F3                                                   ,flag in hole
⛴,26F4                                                   ,ferry
⛴️,26F4 FE0F     ,ferry
⛵,26F5          ,sailboat
⛷,26F7                                                   ,skier
⛷️,26F7 FE0F     ,skier
⛸,26F8                                                   ,ice skate
⛸️,26F8 FE0F     ,ice skate
⛹,26F9                                                   ,person bouncing ball
⛹‍♀,26F9 200D 2640                                         ,woman bouncing ball
⛹‍♀️,26F9 200D 2640 FE0F                                    ,woman bouncing ball
⛹‍♂,26F9 200D 2642                                         ,man bouncing ball
⛹‍♂️,26F9 200D 2642 FE0F                                    ,man bouncing ball
⛹️,26F9 FE0F     ,person bouncing ball
⛹️‍♀,26F9 FE0F 200D 2640                                    ,woman bouncing ball
⛹️‍♀️,26F9 FE0F 200D 2640 FE0F                               ,woman bouncing ball
⛹️‍♂,26F9 FE0F 200D 2642                                    ,man bouncing ball
⛹️‍♂️,26F9 FE0F 200D 2642 FE0F                               ,man bouncing ball
⛹🏻,26F9 1F3FB    ,person bouncing ball: light skin tone
⛹🏻‍♀,26F9 1F3FB 200D 2640                                   ,woman bouncing ball: light skin tone
⛹🏻‍♀️,26F9 1F3FB 200D 2640 FE0F                              ,woman bouncing ball: light skin tone
⛹🏻‍♂,26F9 1F3FB 200D 2642                                   ,man bouncing ball: light skin tone
⛹🏻‍♂️,26F9 1F3FB 200D 2642 FE0F                              ,man bouncing ball: light skin tone
⛹🏼,26F9 1F3FC    ,person bouncing ball: medium-light skin tone
⛹🏼‍♀,26F9 1F3FC 200D 2640                                   ,woman bouncing ball: medium-light skin tone
⛹🏼‍♀️,26F9 1F3FC 200D 2640 FE0F                              ,woman bouncing ball: medium-light skin tone
⛹🏼‍♂,26F9 1F3FC 200D 2642                                   ,man bouncing ball: medium-light skin tone
⛹🏼‍♂️,26F9 1F3FC 200D 2642 FE0F                              ,man bouncing ball: medium-light skin tone
⛹🏽,26F9 1F3FD    ,person bouncing ball: medium skin tone
⛹🏽‍♀,26F9 1F3FD 200D 2640                                   ,woman bouncing ball: medium skin tone
⛹🏽‍♀️,26F9 1F3FD 200D 2640 FE0F                              ,woman bouncing ball: medium skin tone
⛹🏽‍♂,26F9 1F3FD 200D 2642                                   ,man bouncing ball: medium skin tone
⛹🏽‍♂️,26F9 1F3FD 200D 2642 FE0F                              ,man bouncing ball: medium skin tone
⛹🏾,26F9 1F3FE    ,person bouncing ball: medium-dark skin tone
⛹🏾‍♀,26F9 1F3FE 200D 2640                                   ,woman bouncing ball: medium-dark skin tone
⛹🏾‍♀️,26F9 1F3FE 200D 2640 FE0F                              ,woman bouncing ball: medium-dark skin tone
⛹🏾‍♂,26F9 1F3FE 200D 2642                                   ,man bouncing ball: medium-dark skin tone
⛹🏾‍♂️,26F9 1F3FE 200D 2642 FE0F                              ,man bouncing ball: medium-dark skin tone
⛹🏿,26F9 1F3FF    ,person bouncing ball: dark skin tone
⛹🏿‍♀,26F9 1F3FF 200D 2640                                   ,woman bouncing ball: dark skin tone
⛹🏿‍♀️,26F9 1F3FF 200D 2640 FE0F                              ,woman bouncing ball: dark skin tone
⛹🏿‍♂,26F9 1F3FF 200D 2642                                   ,man bouncing ball: dark skin tone
