"Date","USD","EUR","CNY","RUB"
"01.01.2000","138.2","143.65","16.69","5.03"
"02.01.2000","138.2","143.65","16.69","5.03"
"03.01.2000","138.2","143.65","16.69","5.03"
"04.01.2000","138.2","143.65","16.69","5.03"
"05.01.2000","138.2","146.55","16.69","5.03"
"06.01.2000","138.2","146.55","16.69","5.03"
"07.01.2000","138.2","146.55","16.69","5.03"
"08.01.2000","138.7","146.35","16.75","5"
"09.01.2000","138.7","146.35","16.75","5"
"10.01.2000","138.7","146.35","16.75","5"
"11.01.2000","138.7","146.35","16.75","5"
"12.01.2000","138.95","145.91","16.78","4.8"
"13.01.2000","138.95","145.91","16.78","4.8"
"14.01.2000","138.95","145.91","16.78","4.8"
"15.01.2000","139.4","147.03","16.84","4.81"
"16.01.2000","139.4","147.03","16.84","4.81"
"17.01.2000","139.4","147.03","16.84","4.81"
"18.01.2000","139.4","147.03","16.84","4.81"
"19.01.2000","139.5","143.75","16.85","4.81"
"20.01.2000","139.5","143.75","16.85","4.81"
"21.01.2000","139.5","143.75","16.85","4.81"
"22.01.2000","139.5","145.73","16.85","4.81"
"23.01.2000","139.5","145.73","16.85","4.81"
"24.01.2000","139.5","145.73","16.85","4.81"
"25.01.2000","139.5","145.73","16.85","4.81"
"26.01.2000","139.5","145.76","16.85","4.81"
"27.01.2000","139.5","145.76","16.85","4.81"
"28.01.2000","139.5","145.76","16.85","4.81"
"29.01.2000","139.45","142.17","16.85","4.81"
"30.01.2000","139.45","142.17","16.85","4.81"
"31.01.2000","139.45","142.17","16.85","4.81"
"01.02.2000","139.45","142.17","16.85","4.81"
"02.02.2000","139.4","140","16.84","4.81"
"03.02.2000","139.4","140","16.84","4.81"
"04.02.2000","139.4","140","16.84","4.81"
"05.02.2000","139.45","139.95","16.84","4.81"
"06.02.2000","139.45","139.95","16.84","4.81"
"07.02.2000","139.45","139.95","16.84","4.81"
"08.02.2000","139.45","139.95","16.84","4.81"
"09.02.2000","139.65","140.1","16.87","4.82"
"10.02.2000","139.65","140.1","16.87","4.82"
"11.02.2000","139.65","140.1","16.87","4.82"
"12.02.2000","139.85","140.12","16.89","4.82"
"13.02.2000","139.85","140.12","16.89","4.82"
"14.02.2000","139.85","140.12","16.89","4.82"
